company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
HANALEX WEALTH LTD,07606007,Active,Private limited company,,,2011-04-15,,,65110 65120,38 Bibby Road Southport PR9 7PT England
DES FLANAGAN INVESTMENT SOLUTIONS LTD,NI611322,Active,Private limited company,,,2012-02-22,,,64999 65110 65300,"9 James Street Omagh BT78 1DH "
WOODWARD INSURANCE & MORTGAGE SERVICES LIMITED,05067266,Active,Private limited company,,,2004-03-09,,,64999 65110 65120,"143 High Street Street Somerset BA16 0EX "
ZEBRA FINANCIAL SOLUTIONS LTD,12913275,Active,Private limited company,,,2020-09-29,,,64922 64999 65110,2 The Coppice Ewloe Deeside CH5 3RS England
HIRSCHLE HUGHES FINANCIAL SERVICES LIMITED,14620786,Active,Private limited company,,,2023-01-27,,,65110 66190,77 New Cavendish Street London W1W 6XB England
UNITED (BIC) LIMITED,01717975,Active,Private limited company,,,1983-04-25,,,65110 79110,"59/61 Faulkner Street Manchester M1 4FF "
GORDON BLYTH (LIFE & PENSIONS) LIMITED,SC073598,Active,Private limited company,,,1980-12-31,,,65110,16 Fraserburgh Place Inverkip Greenock PA16 0GA Scotland
MAE SOLUTIONS LIMITED,16122653,Active,Private limited company,,,2024-12-08,,,65110,17 Woodville Road Blackburn BB1 5NU England
MAGRAA PROPERTY GROUP LIMITED,13286724,Active,Private limited company,,,2021-03-23,,,65110,2 Severn Road Clase Swansea SA6 7LF Wales
BESPOKE FINANCIAL ADVISORS LTD,09056282,Active,Private limited company,,,2014-05-27,,,64922 65110 65120 70210,20-22 Wenlock Road London N1 7GU England
P.J.ASSURANCE AGENCY LIMITED,01926865,Active,Private limited company,,,1985-06-28,,,64999 65110,"158 Chesterfield Rd Ashford Middlesex TW15 3PT "
C L FINANCIAL LTD,12519153,Active,Private limited company,,,2020-03-16,,,64922 65110 65120 66220,6 Pennine Way Verwood BH31 6UL England
THEZAC LIMITED,07560480,Active,Private limited company,,,2011-03-11,,,65110,"5 Middleton Place London W1W 7TD "
YOUR PROTECTION GUARANTEED LIMITED,15451992,Active,Private limited company,,,2024-01-30,,,64999 65110,Vicarage Corner House 219 Burton Road Derby DE23 6AE England
FINESSE INSURANCE CONSULTANTS LIMITED,01682500,Active,Private limited company,,,1982-11-30,,,65110,101 New Cavendish Street 1st Floor South London W1W 6XH United Kingdom
STUART BROWN MORTGAGE SERVICES LIMITED,04983647,Active,Private limited company,,,2003-12-03,,,64999 65110 65120,"3 Home Farm Toddington Road Tebworth Leighton Buzzard LU7 9QD "
CHARLES F.BOOTH & SON LIMITED,00794803,Active,Private limited company,,,1964-03-06,,,65110,"1-3 Waverley Street Nottingham NG7 4HG "
WILSON INSURANCE BROKING GROUP LIMITED,00862690,Active,Private limited company,,,1965-10-28,,,65110,"1-3 Waverley Street Nottingham NG7 4HG "
PURE CREMATION FUNERAL PLANNING LIMITED,09906976,Active,Private limited company,,,2015-12-08,,,65110 65120 66220,Charlton Park Crematorium Charlton Down Andover SP11 0TA England
YES MORTGAGE SERVICES LIMITED,08872874,Active,Private limited company,,,2014-02-03,,,64922 65110 65120,The Old Barn Brooklands Farm Mannington Wimborne BH21 7JU England
OLCOTE LAPPIN FINANCIAL PLANNING LTD,SC654399,Active,Private limited company,,,2020-02-13,,,64999 65110,9 Picketlaw Way Eaglesham Glasgow G76 0BL Scotland
KICKSTART MORTGAGE SERVICES LTD,13282272,Active,Private limited company,,,2021-03-22,,,64922 65110,110 Laverton Road Hamilton Leicester LE5 1WJ United Kingdom
RNR MORTGAGE SOLUTIONS LTD,11700585,Active,Private limited company,,,2018-11-28,,,64922 65110,9 Stoughton Road Oadby Leicester LE2 4DS England
FRIENDLY FINANCIAL LIMITED,NI644531,Active,Private limited company,,,2017-03-14,,,65110,Unit 36 Templemore Business Park Derry BT48 0LD Northern Ireland
CROWN F.M.B. LTD,12153187,Active,Private limited company,,,2019-08-13,,,64191 64999 65110 65120,20 Wenlock Road London N1 7GU England
GLYN HALL WEALTH MANAGEMENT LIMITED,07874890,Active,Private limited company,,,2011-12-08,,,65110 65120 65300,Watling Offices Smockington Lane Wolvey Hinckley LE10 3AY England
IMIA LIMITED,NI054893,Active,Private limited company,,,2005-04-25,,,65110,"11 Hamilton Road Bangor BT20 4JP "
RHODES WEALTH MANAGEMENT LIMITED,07220984,Active,Private limited company,,,2010-04-13,,,65110,Express Works Luke Lane Brailsford Ashbourne DE6 3BY England
REGENTIA LIFESTYLE PLANNING LTD,05233133,Active,Private limited company,,,2004-09-16,,,65110 65201 65300 66190,17a Appleton Court Durkar WF2 7AR England
PRESTWOOD ETHERIDGE & RUSSELL LIMITED,01217124,Active,Private limited company,,,1975-06-24,,,64999 65110,15 Glendale Gardens Lawley Village Telford TF4 2RG England
PARK GATE (MORTGAGE & PROTECTION) LIMITED,05087041,Active,Private limited company,,,2004-03-29,,,64922 65110,"54 The Causeway Downend Fareham PO16 8RW "
INSURED FOR LIFE LTD,16334211,Active,Private limited company,,,2025-03-21,,,65110,11 Eldon Gardens Ashton-In-Makerfield Wigan WN4 0AS England
AUXILIA FINANCIAL SERVICES LTD,13998631,Active,Private limited company,,,2022-03-23,,,64922 65110,South Cottage 1 West Street Corner Seavington Ilminster TA19 0QU England
HOGAN PROTECTION LTD,16332124,Active,Private limited company,,,2025-03-21,,,65110,26 North Royds Wood Barnsley S71 3NW England
DIXFLOPS PROTECTION LTD,12394540,Active,Private limited company,,,2020-01-09,,,65110,Whitfield House St. Johns Road Meadowfield Industrial Estate Durham DH7 8XL England
AMT INTERNATIONAL HOLDINGS LIMITED,10189982,Active,Private limited company,,,2016-05-19,,,65110 65120,Exchequer Court 33 St. Mary Axe London EC3A 8AA England
MAVERICK PROPERTY MANAGEMENT SERVICES LTD,10627044,Active,Private limited company,,,2017-02-20,,,65110,"Office 8, 151 The Rock Bury BL9 0ND England"
R MALIN LTD,11539053,Active,Private limited company,,,2018-08-28,,,65110,The White House Hockliffe Street Leighton Buzzard LU7 1HD England
M FINANCIAL SERVICES LIMITED,16350177,Active,Private limited company,,,2025-03-28,,,64922 65110 65120 66220,Unit 1 Generator Hall Electric Wharf Coventry CV1 4JL England
LEAGOLD LIMITED,01692041,Active,Private limited company,,,1983-01-18,,,65110 65120 65300,"Suite 2a, 7th Floor - Pf City Reach 5 Greenwich View Place London E14 9NN England"
KING & CO FINANCIAL SERVICES LIMITED,04622056,Active,Private limited company,,,2002-12-19,,,65110 65300,"318 Wellingborough Road Northampton NN1 4EP "
G.D. ANDERSON LIFE AND PENSIONS LIMITED,05107278,Active,Private limited company,,,2004-04-20,,,65110,"C/O Sloane & Co, Office 015 30 Great Guildford Street Borough SE1 0HS United Kingdom"
BELL STREET MORTGAGES LTD,15599037,Active,Private limited company,,,2024-03-27,,,64922 65110,47 Bell Street Sawbridgeworth CM21 9AR England
CHARNWOOD MORTGAGES LIMITED,14753840,Active,Private limited company,,,2023-03-23,,,64922 65110,8 Wysall Lane Wymeswold Loughborough LE12 6UH England
RE-MORTGAGEMYHOUSE LTD,10602415,Active,Private limited company,,,2017-02-06,,,64922 65110 65201,46-48 Station Road Llanishen Cardiff CF14 5LU Wales
SCOPE WEALTH MANAGEMENT LTD,SC804408,Active,Private limited company,,,2024-03-25,,,65110 65201 65300,15 Glasgow Road Paisley PA1 3QS Scotland
COTSWOLD FINANCIAL SERVICES LTD,15051277,Active,Private limited company,,,2023-08-05,,,65110 65120 66220,9 Blackwell Drive Banbury OX16 9PF England
ROBSON REID WEALTH MANAGEMENT LIMITED,16402963,Active,Private limited company,,,2025-04-23,,,65110 65300,"85 Great Portland Street, First Floor London W1W 7LT England"
MO MONEY FINANCIAL SERVICES LTD,11976995,Active,Private limited company,,,2019-05-03,,,64922 65110 65202 66220,160 Cromwell Road Rushden NN10 0EF England
REAL LENDING & FINANCIAL SERVICES LTD,16406499,Active,Private limited company,,,2025-04-24,,,64922 65110 65120 66220,128 City Road London EC1V 2NX United Kingdom
IXXOS SEARCH CONSULTANCY LIMITED,10614381,Active,Private limited company,,,2017-02-13,,,65110 66220,"Suite 1, Aqueous Ii Aston Cross Business Park Birmingham B6 5RQ England"
MORTGAGE PATHWAY LTD,16383960,Active,Private limited company,,,2025-04-13,,,64922 65110,56 Colebourne Road Birmingham B13 0EY England
JUST MORTGAGES SOUTHERN LTD,15562028,Active,Private limited company,,,2024-03-14,,,64922 65110 65120,113 Golden Avenue Littlehampton BN16 1QT United Kingdom
CLYMPS LTD,15460222,Active,Private limited company,,,2024-02-01,,,64922 65110,13 Harebell Close Wynyard Billingham TS22 5UR United Kingdom
PANTHEON PROTECT LIMITED,14642738,Active,Private limited company,,,2023-02-06,,,65110 66220,C/O Ridgell & Guildway Accountants Ltd 3 Guild Way South Woodham Ferrers Chelmsford CM3 5TG England
JCL FINANCIAL LTD,16386300,Active,Private limited company,,,2025-04-14,,,64922 65110,4 Link Road Stanford-Le-Hope SS17 8AJ England
RHYS LLOYD THOMAS LTD,15618895,Active,Private limited company,,,2024-04-05,,,65110 66220 66290,The Office Llanteglos Estate Llanteg Amroth SA67 8PU United Kingdom
MYLO MORTGAGES LIMITED,14780970,Active,Private limited company,,,2023-04-04,,,64922 65110 66220,503 Burgoyne House Ealing Road Brentford TW8 0GB England
DAVE TURNER FINANCIAL SERVICES LIMITED,08572598,Active,Private limited company,,,2013-06-17,,,65110,Office 8 Rogers & Company Edeal Business Centre Polegate BN26 6HY United Kingdom
GRACECHURCH UTG NO. 465 LIMITED,07388486,Active,Private limited company,,,2010-09-27,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
IDFM (CITY) LTD,06073612,Active,Private limited company,,,2007-01-30,,,64999 65110 65120 65201,"Unit 4 Cedar Court 1 Royal Oak Yard London SE1 3GA "
ST ANDREW'S WEALTH MANAGEMENT LIMITED,07247859,Active,Private limited company,,,2010-05-10,,,65110 65120 65300,"10 South Parade Bawtry Doncaster DN10 6JH "
PROSPECTUS FINANCIAL MANAGEMENT LIMITED,07872777,Active,Private limited company,,,2011-12-06,,,65110 65300,"1st Floor Offices, 12 Redhouse Square Duncan Close Moulton Park Industrial Estate Northampton NN3 6WL "
TRAILS FINANCIAL LTD,14859313,Active,Private limited company,,,2023-05-10,,,64999 65110 66290 66300,The Barn Green Farm Bendish Hitchin SG4 8JD United Kingdom
JOHN F WHIPPY & COMPANY LIMITED,04493155,Active,Private limited company,,,2002-07-23,,,65110 65120 68209,"97 Cavendish Place Eastbourne East Sussex BN21 3TZ "
MYU FINANCIAL LTD,10079000,Active,Private limited company,,,2016-03-22,,,65110,243 Cross Road Coventry CV6 5GP England
STATUS FINANCIAL SERVICES LIMITED,08983516,Active,Private limited company,,,2014-04-07,,,64999 65110 65120 66220,12 Schooner Walk Upnor Rochester ME2 4GZ England
KRED HOLDINGS LTD,11889437,Active,Private limited company,,,2019-03-18,,,64922 65110 66220,4a 6-8 Kenn Road Clevedon BS21 6EL United Kingdom
TAVISTOCK INSURANCE SERVICES LIMITED,02106973,Active,Private limited company,,,1987-03-06,,,65110,"Barttelot Court, Barttelot Road Horsham West Sussex RH12 1DQ "
THE KING'S LYNN MORTGAGE CENTRE LIMITED,04620846,Active,Private limited company,,,2002-12-18,,,65110 65120 66190 66220,24 Market Place Swaffham PE37 7QH England
MATTINSON GINTY & PARTNERS (EMPLOYEE BENEFITS) LIMITED,03018973,Active,Private limited company,,,1995-02-07,,,65110 65120 65300 66220,"The Copper Room Deva Centre, Trinity Way Manchester M3 7BG "
D M CAGER (FINANCIAL SERVICES) LIMITED,06617543,Active,Private limited company,,,2008-06-11,,,65110,Donald Reid Group Limited 1010 Eskdale Road Winnersh Triangle Wokingham RG41 5TS United Kingdom
BATEMAN ASSET MANAGEMENT LIMITED,05119585,Active,Private limited company,,,2004-05-05,,,65110 65201,"53 Smith Street Warwick CV34 4HU "
O'NEILL & CO INSURANCE CONSULTANTS (IRLAM) LIMITED,01149708,Active,Private limited company,,,1973-12-06,,,65110,"200 Liverpool Rd Irlam Manchester M44 6FE "
OKR CONSULTING LIMITED,13414453,Active,Private limited company,,,2021-05-21,,,65110 65120,128 City Road London EC1V 2NX United Kingdom
BLACKSTOCK FINANCIAL SERVICES LTD.,07605711,Active,Private limited company,,,2011-04-15,,,64922 65110 66190 82110,"38 Nith Place Dudley DY1 3BH "
THE HOME BROKER LTD,16191601,Active,Private limited company,,,2025-01-17,,,64922 65110,252 Bolton Road Atherton Manchester M46 9HQ England
HORDER FINANCIAL SERVICES LIMITED,02300801,Active,Private limited company,,,1988-09-29,,,65110 82990,16 Homefield Road Bromley BR1 3AL England
DNA FITNESS LTD,NI658572,Active,Private limited company,,,2019-01-28,,,65110 66290 93130,4 Dukes Lane Ballykelly BT49 9JT Northern Ireland
ARIEL RE CAPITAL HOLDINGS (NO 1350) LIMITED,14514391,Active,Private limited company,,,2022-11-29,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
LSG PROTECTION LTD,15984379,Active,Private limited company,,,2024-09-27,,,65110,2 Tower House Hoddesdon EN11 8UR England
CALEDONIAN FINANCIAL MANAGEMENT LIMITED,SC287059,Active,Private limited company,,,2005-07-05,,,65110 65201 65300,Caledonian House 35 Nasmyth Avenue East Kilbride Glasgow G75 0QR Scotland
NIGEL FRANCIS LIMITED,05368456,Active,Private limited company,,,2005-02-17,,,64999 65110 65120 65201,"Regus, Ground Floor, Building 1000 Western Road Portsmouth PO6 3EZ England"
D. A. CALDER LIMITED,SC205231,Active,Private limited company,,,2000-03-20,,,65110 65120,3rd Floor 10 Bothwell Street Glasgow G2 6LU Scotland
FOX ADVISORY LIMITED,09327192,Active,Private limited company,,,2014-11-25,,,65110 66290,4th Floor Charles House 108-110 Finchley Road London NW3 5JJ England
STARCK UBEROI WEALTH LTD.,11218278,Active,Private limited company,,,2018-02-21,,,64922 65110,Dock House 79 High Street Brentford TW8 8AE England
DANIEL BEL FINANCIAL SERVICES LTD,16763129,Active,Private limited company,,,2025-10-04,,,64922 64999 65110 66220,7 Inglefield Rochdale OL11 5XL England
THE LANCASHIRE AND YORKSHIRE REVERSIONARY INTEREST COMPANY LIMITED,00019770,Active,Private limited company,,,1884-05-03,,,65110,Aviva Wellington Row York YO90 1WR England
MICHAEL J FOX LTD,16758823,Active,Private limited company,,,2025-10-02,,,65110,12 Beech Grove South Bank Middlesbrough TS6 6ST United Kingdom
CARNWYLLON WEALTH MANAGEMENT LIMITED,07027319,Active,Private limited company,,,2009-09-23,,,65110 65201,"Mandel House, Brodawel Llannon Llanelli SA14 6BJ Wales"
HYNCA FINANCIAL LTD,16765225,Active,Private limited company,,,2025-10-06,,,64922 64999 65110 66220,"Enterprise House, Tenlons Road Nuneaton CV10 7HR England"
NAMECO (NO. 1431) LIMITED,16740511,Active,Private limited company,,,2025-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
FEARNE WEALTH MANAGEMENT LTD,05807230,Active,Private limited company,,,2006-05-05,,,65110,2-3 Charter Point Way Ashby-De-La-Zouch LE65 1NF England
INSURED LIFE LIMITED,16750047,Active,Private limited company,,,2025-09-29,,,64999 65110,"Help Box Ltd, 203 West Street Fareham PO16 0EN United Kingdom"
CORT SYNDICATE LIMITED,09591036,Active,Private limited company,,,2015-05-14,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
THE ONLINE MORTGAGE ADVISORS LTD,15162565,Active,Private limited company,,,2023-09-25,,,64922 65110 66220,24 Lowes Fold Lowton Warrington WA3 2XD England
AUTONOMYFP LIMITED,NI626555,Active,Private limited company,,,2014-09-08,,,65110 65300,41 Banbridge Enterprise Centre Scarva Road Banbridge BT32 3QD Northern Ireland
MINSHALL FINANCIAL SERVICES LIMITED,04287214,Active,Private limited company,,,2001-09-13,,,64999 65110 65120 66190,On-Line House 50-56 North Street Horsham RH12 1RD England
PROSPERITY HEALTH & LIFE LTD,15808589,Active,Private limited company,,,2024-06-28,,,65110,Suite D 32 Thorpe Wood Thorpe Wood Business Park Peterborough PE3 6SR England
GILBERT WEALTH LIMITED,05643024,Active,Private limited company,,,2005-12-02,,,65110,"On-Line House, 50-56 North Street Horsham RH12 1RD England"
THE MORTGAGE MARK LTD,14369477,Active,Private limited company,,,2022-09-22,,,64922 65110,11 Main Road West Huntspill Highbridge TA9 3QS England
PRIVATE FINANCE LTD,03855776,Active,Private limited company,,,1999-10-08,,,64191 64999 65110,1-3 Worship Street London EC2A 2AB England
CLADAR FINANCIAL LTD,07639903,Active,Private limited company,,,2011-05-19,,,65110 65120,8 Frailey Close Southport PR8 3QB England
JAMELL ANDERSON LIMITED,15651223,Active,Private limited company,,,2024-04-16,,,65110 66220 93199,10 Boscombe Avenue Manchester M30 7DU England
LEGACY COVER LTD,16538252,Active,Private limited company,,,2025-06-24,,,65110 65120 66220,35 Shaftesbury Road Bournemouth BH8 8SS United Kingdom
BUSINESS PROTECTION EXPERT LTD,09242759,Active,Private limited company,,,2014-10-01,,,65110,"7 Suite C, Second Floor, The Old Treasury (Rear Of) 7 Kings Road Southsea PO5 4DJ England"
ATILA LTD,16451466,Active,Private limited company,,,2025-05-14,,,64301 65110 66110,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
ES RISKS LIMITED,06343872,Active,Private limited company,,,2007-08-15,,,65110,1-2 Charterhouse Mews London EC1M 6BB England
PHS MORTGAGE LTD,16427156,Active,Private limited company,,,2025-05-02,,,64999 65110,223 St. Albans Road Watford WD24 5BH England
BEACH U.K. LIMITED,02323798,Active,Private limited company,,,1988-12-01,,,65110 65120,"Suite 3, Canon Court North 2 Abbey Lawn Shrewsbury SY2 5DE England"
LODGE MORTGAGE SOLUTIONS LTD,12028079,Active,Private limited company,,,2019-06-03,,,64999 65110 65120,47 Suite 3 Bethel Street Brighouse HD6 1JR England
GRANT FINANCIAL SERVICES LTD,14092272,Active,Private limited company,,,2022-05-07,,,65110,Police House Salisbury Road Breamore Fordingbridge SP6 2EE England
OLD BRIDGE STREET LIMITED,05454566,Active,Private limited company,,,2005-05-17,,,65110 65120,Unit 2 Beverley Court 26 Elmtree Road Teddington TW11 8ST England
WS BROKERS LIMITED,13040856,Active,Private limited company,,,2020-11-24,,,65110,Francis Louis House Belmont Road Exeter EX1 2HF England
A2B FINANCIAL LTD,12868461,Active,Private limited company,,,2020-09-09,,,64999 65110 66220,11 Manchester Chambers Oldham OL1 1LF England
GJK TRADE LTD,16545574,Active,Private limited company,,,2025-06-27,,,64301 64992 65110 65201,20 Wenlock Road London N1 7GU England
JB PROTECTION LTD,13576942,Active,Private limited company,,,2021-08-20,,,65110,75 Worsdell Drive Gateshead NE8 2AZ United Kingdom
HAUPT & CO LTD,16572615,Active,Private limited company,,,2025-07-09,,,64922 65110 66220,3 Warren View Churchill Winscombe BS25 5AP England
SENTINEL FINANCIAL LTD,15354430,Active,Private limited company,,,2023-12-15,,,64922 65110,4 Cavendish Court South Parade Doncaster DN1 2DJ England
HARPTREE MORTGAGES LIMITED,16501624,Active,Private limited company,,,2025-06-06,,,64922 65110,7 Yeomans Avenue Harpenden AL5 3EG United Kingdom
HIVE NAMECO LIMITED,16490618,Active,Private limited company,,,2025-06-02,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
LIFE-ASSURE LIMITED,12777022,Active,Private limited company,,,2020-07-29,,,64922 65110,25 Newcombe Crescent Buckingham MK18 1WH England
BLACKSWANOBSIDIAN.INSURE LTD,16595503,Active,Private limited company,,,2025-07-21,,,65110 65201 65202 66220,1 Elizabeth Lockhart Way Braintree CM7 9RH England
GRYFFIN STANLEY GROUP LTD,16587625,Active,Private limited company,,,2025-07-16,,,65110 65120,1 Silk Street Manchester M4 6LZ England
BFS WEALTH AND PROTECTION LTD,01217536,Active,Private limited company,,,1975-06-26,,,65110,"1 Europa View, Sheffield Business Park Europa Link Sheffield S9 1XH England"
THAMESIDE MORTGAGES LTD,11473741,Active,Private limited company,,,2018-07-19,,,64922 65110,49 Sallows Shaw Cobham Gravesend DA13 9BP England
BOURNE FINANCIAL OPTIONS LTD,14212359,Active,Private limited company,,,2022-07-04,,,64922 64999 65110,Orega 4 Longwalk Road Uxbridge UB11 1FE England
FRANK CORRIGAN & CO. LIMITED,02198916,Active,Private limited company,,,1987-11-26,,,65110 65300 66290,1 The Cobalt Centre Siskin Parkway East Middlemarch Business Park Coventry CV3 4PE United Kingdom
FINLI (GPS) LTD,04823391,Active,Private limited company,,,2003-07-07,,,65110 65201,"C/O Freeths Llp 3rd Floor, Northgate House 450-500 Silbury Boulevard Milton Keynes MK9 2AD England"
DEVI CONSULTANTS LTD,12351083,Active,Private limited company,,,2019-12-05,,,64922 65110,25 Field View Thurmaston Leicester LE4 8NX England
LICENCE DELAY LIMITED,16639298,Active,Private limited company,,,2025-08-09,,,65110,12 Kenneth Road Romford RM6 6LL England
C B HALL (INDEPENDENT FINANCIAL ADVISER) LIMITED,11798798,Active,Private limited company,,,2019-01-31,,,65110 65300,12 The Courtyard Buntsford Drive Bromsgrove B60 3DJ England
NATIONAL PROVIDENT LIFE LIMITED,03641947,Active,Private limited company,,,1998-10-01,,,65110,10 Brindleyplace Birmingham B1 2JB United Kingdom
SMQ SERVICES LIMITED,03689704,Active,Private limited company,,,1998-12-29,,,65110 65202,The Riding School House Bulls Lane Wishaw Sutton Coldfield B76 9QW England
COUNTRYWIDE ASSURED PLC,02261746,Active,Public limited company,,,1988-05-25,,,65110,2nd Floor 33-34 Winckley Square Preston PR1 3JJ United Kingdom
MAXCOVER FINANCIAL SERVICES LTD,15093315,Active,Private limited company,,,2023-08-23,,,65110 65120 66220,Suite 8e Kelvin House Kelvin Way Crawley RH10 9WE England
PROTECT MY HEALTH LTD,09884904,Active,Private limited company,,,2015-11-23,,,65110 65120 66220,Orchard House 1a Green Drive Lostock Hall Preston PR5 5UY England
CYGNET PRIVATE FINANCE LIMITED,05417916,Active,Private limited company,,,2005-04-07,,,64999 65110 65120,"Suite A, 1st Floor Unit 1 Eurogate Business Park Ashford TN24 8XW England"
F&G LIFE LTD,16852319,Active,Private limited company,,,2025-11-13,,,65110 66220,128 City Road London EC1V 2NX United Kingdom
24X2 INVESTMENTS LIMITED,SC260211,Active,Private limited company,,,2003-12-03,,,65110,"10 Broad Street, Peterhead, Aberdeenshire 10 Broad Street Peterhead AB42 1BY Scotland"
PAUL ROBERT HART LIMITED,16472827,Active,Private limited by guarantee without share capital,,,2025-05-24,,,65110,59 Kendal Drive Rainford St. Helens WA11 7LF England
THREE STARS FINANCIAL SOLUTIONS (UK) LIMITED,16015031,Active,Private limited company,,,2024-10-14,,,64999 65110 65120 66220,Valley House Seventh Avenue Team Valley Gateshead NE11 0JW United Kingdom
JK PROTECTION LTD,15536428,Active,Private limited company,,,2024-03-02,,,65110,11 Masons Court Bells Hill Bishop's Stortford CM23 2NW England
TIMOTHY JAMES & PARTNERS LIMITED,03138148,Active,Private limited company,,,1995-12-15,,,65110 65120,Shell Mex House 80 Strand London WC2R 0DT England
LIFE IS TOO SHORT PROTECTION LIMITED,16444535,Active,Private limited company,,,2025-05-12,,,65110 65120,"Suite 8, Tower House New Portreath Road Bridge Redruth TR16 4QL England"
PRO VITAE LTD,10051590,Active,Private limited company,,,2016-03-09,,,62090 65110 73110,28-29 The Broadway No:1 Ealing Broadway London W5 2NP England
NAMECO (NO. 1419) LIMITED,16491233,Active,Private limited company,,,2025-06-03,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
FINANCIAL LINK LIMITED,02106689,Active,Private limited company,,,1987-03-05,,,64301 65110 65300 66300,29 Wayland Avenue Brighton BN1 5LW England
RAE FINANCIAL ADVISORY SERVICES LTD,15119197,Active,Private limited company,,,2023-09-06,,,65110 70221,59 Northumberland Way Manchester M22 4UG England
WESLEYAN ASSURANCE SOCIETY,ZC000145,Active,Unregistered company,,,,,,65110,"Colmore Circus Birmingham B4 6AR "
TUNGSTEN FINANCIAL LTD,15069286,Active,Private limited company,,,2023-08-14,,,65110 65120,6 C/O Gs Griffiths Accountants Ltd 6 Ocean Way Cardiff CF24 5HF Wales
ZENITH ACTUARIAL LIMITED,10045050,Active,Private limited company,,,2016-03-07,,,65110,Clockwise Offices Linley House Dickinson Street Manchester M1 4LF England
THE MORTGAGE ADVICE CLUB LTD,SC713352,Active,Private limited company,,,2021-10-27,,,64922 65110 66220,14 Newton Place C/O Gallone And Co Glasgow G3 7PY Scotland
CHRIS LAWSON ASSOCIATES LIMITED,15560878,Active,Private limited company,,,2024-03-13,,,65110,C/O Wis Accountancy Ltd 4 Imperial Place Maxwell Road Borehamwood WD6 1JN England
PROTECTED-ON-LINE LIMITED,06848274,Active,Private limited company,,,2009-03-16,,,65110,4 Wick Lane Bournemouth BH6 4JT England
PLATTON CONSULTANCY LTD,16819463,Active,Private limited company,,,2025-10-29,,,65110,20 Railway Avenue Catcliffe Rotherham S60 5SZ England
MURAS BAKER JONES FINANCIAL SERVICES LIMITED,05742112,Active,Private limited company,,,2006-03-14,,,65110 65300,1 Angel Court London EC2R 7HJ United Kingdom
QUAYSIDE MORTGAGE GROUP LIMITED,15257195,Active,Private limited company,,,2023-11-02,,,64922 65110,Rotterdam House 116 Quayside Newcastle Upon Tyne NE1 3DY England
TAYLORED FINANCIAL PLANNING LTD,05387687,Active,Private limited company,,,2005-03-10,,,65110 66290,17 Gelliwastad Road Pontypridd CF37 2BW Wales
NAMECO (NO. 1430) LIMITED,16688299,Active,Private limited company,,,2025-09-02,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
AJH FINANCIAL SERVICES LTD,03898187,Active,Private limited company,,,1999-12-22,,,65110 65300,"18 Tawe Business Village Swansea Enterprise Park Swansea SA7 9LA "
FI PROTECT LTD,09444383,Active,Private limited company,,,2015-02-17,,,65110,Catalyst House 720 Centennial Ave Elstree Borehamwood WD6 3SY England
NAMECO (NO. 1424) LIMITED,16648155,Active,Private limited company,,,2025-08-13,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
CLARKE FINANCIAL LTD,16657004,Active,Private limited company,,,2025-08-18,,,65110,73 Gilkes Street Middlesbrough TS1 5EH United Kingdom
MEC EMPLOYEE BENEFITS LIMITED,09812544,Active,Private limited company,,,2015-10-06,,,65110 65120,Ridgeways 3 Sefton Close West End Woking GU24 9HT England
JUBILEE MEMBER (3) LIMITED,07710516,Active,Private limited company,,,2011-07-19,,,65110 65120,6th Floor 25 Fenchurch Avenue London EC3M 5AD England
JUBILEE MEMBER (1) LIMITED,07702355,Active,Private limited company,,,2011-07-12,,,65110 65120,6th Floor 25 Fenchurch Avenue London EC3M 5AD England
JUBILEE MEMBER (2) LIMITED,07710511,Active,Private limited company,,,2011-07-19,,,65110 65120,6th Floor 25 Fenchurch Avenue London EC3M 5AD England
NOMINA CORPORATE PARTNER NO 155 LIMITED,16703107,Active,Private limited company,,,2025-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
JHWM HOLDINGS LIMITED,04203243,Active,Private limited company,,,2001-04-20,,,65110 65300,15 Dudley Street Grimsby DN31 2AW England
INTEGRALIFE UK LIMITED,00798365,Active,Private limited company,,,1964-03-26,,,65110,4th Floor 2 Gresham Street London EC2V 7AD England
AVENUE MORTGAGE SOLUTIONS LTD,10676153,Active,Private limited company,,,2017-03-17,,,64922 65110,B19 Sbc House Restmor Way Wallington SM6 7AH England
BROADGATE FINANCIAL CONSULTING LTD,07146963,Active,Private limited company,,,2010-02-04,,,65110 65120 65300,Broadgates All Saints Road Creeting St.Mary IP6 8NG England
